Date Posted,Response Deadline,Country,Industry Classification,Product/Service Classification,Type of Opportunity,Federal Agency/Department,Sub-Agency/Department,Opportunity Description,Award Amount $,Active?,Date Awarded,Awardee,Date Archived,SAM.gov Link,Notice ID,Solicitation #,Award Number
2025-12-31 20:51:00.080,,Greece,Deep Sea Freight Transportation,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MARINE CHARTER,Award Notice,DEPT OF DEFENSE,DEPT OF THE NAVY,RFP N3220526R6032 IS HEREBY AWARDED CONTRACT N3220526P5042.,5693321.50,Yes,2025-12-31,"U.S. MARINE MANAGEMENT, LLC Norfolk VA 23502 USA",2026-01-15,https://sam.gov/workspace/contract/opp/ccdf9b97b037407e85e4639a07bc1dca/view,ccdf9b97b037407e85e4639a07bc1dca,N3220526R6032,N3220526P5042
2025-12-31 20:28:12.359,2026-01-14T15:00:00-05:00,Panama,Household Furniture (except Wood and Upholstered) Manufacturing,HOUSEHOLD FURNITURE,Combined Synopsis/Solicitation,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","Black steel frame bunk beds with standard twin size semi-orthopedic mattress to be delivered in Panama, Central America. Offers are due by email to inlprocpanama@state.gov by 3:00 PM, Wednesday, January 14, 2026. All responsible sources may submit an offer that shall be considered. If there are any questions regarding this solicitation please submit in writing no later than 3:00 PM, Monday, December 29, 2025.",,Yes,,,2026-01-29,https://sam.gov/workspace/contract/opp/7fa88d3c4a634b889da1c85692a77ec5/view,7fa88d3c4a634b889da1c85692a77ec5,19PM0726Q0005,
2025-12-31 20:17:36.664,2026-01-09T14:00:00-08:00,Japan,Mineral Wool Manufacturing,WALLBOARD BLDG & THERMAL INSULATION,Solicitation,DEPT OF DEFENSE,DEPT OF THE NAVY,"NAVSUP Fleet Logistics Center Puget Sound is soliciting for INSULATION,THERMAL FELT AND ACOUSTIC in accordance with solicitation specifications. This acquisition will be solicited as a 100% SMALL BUSINESS SET ASIDE. Interested parties may identify their interest and capability and submit quotes prior to offer due date. Offers are due Friday, January 9, 2026, at 2:00 PM Pacific Time. A determination will be made based upon responses received to this notice is solely within the discretion of the Government. Terms will be FOB: ORIGIN BY FACT-SP (NOLSC): to U.S. NAVAL BASE YOKOSUKA JAPAN A Firm-Fixed Price, SUPPLY type contract will be awarded in accordance with FAR parts 12 and 13, Commercial and Simplified Acquisition Procedures. All responsible sources may submit a quote which shall be considered by FLCPS. This solicitation and any subsequent amendments will be posted to the sam.gov website: https://www.sam.gov. Prospective offerors are responsible for downloading their own copy of the solicitation from this website and for frequently monitoring the site for any amendments. The Government is not responsible for any inability of the offeror to access the posted documents. No telephone or fax requests will be accepted, and no hard-copy solicitation/amendment will be mailed or faxed. PLEASE SEE ATTACHED SOLICITATION FOR REQUIREMENTS & SPECIFICATIONS, APPLICABLE CLAUSES & PROVISIONS, SHIPPING AND INVOICING INFORMATION. All questions regarding this solicitation should be submitted to JENNIFER MARTINEZ at email: jennifer.a.martinez42.civ@us.navy.mil and secondary contact, Denise Manor, at email: denise.e.manor.civ@us.navy.mil",,Yes,,,2026-01-24,https://sam.gov/workspace/contract/opp/25420f373afb4a4d83384a543ba7ecf0/view,25420f373afb4a4d83384a543ba7ecf0,N0040626QS080,
2025-12-31 19:17:55.111,2026-01-20T10:00:00-07:00,El Salvador,Power and Communication Line and Related Structures Construction,LEASE/RENTAL OF ELECTRONIC AND COMMUNICATIONS FACILITIES,Solicitation,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","UHF Repeater Site Rental: Boquerón, El Chulo, and Cerro Verde (or Technically Equivalent Sites) 1. Introduction This Scope of Work (SoW) outlines the requirements for the rental of three UHF repeater sites, with preferred locations at Boquerón, El Chulo, and Cerro Verde. The Department will consider alternative sites if they meet or exceed the technical standards required for UHF repeater operations and can achieve the specified coverage objectives. Each site will support the communication needs of the U.S. Embassy in San Salvador by providing access to a properly equipped shelter, tower access, and all necessary infrastructure. 2. Objectives The primary objective is to ensure reliable, high-quality UHF radio communication between the repeater sites and the U.S. Embassy in Santa Elena, as well as among the sites themselves, using IP-based connectivity. The sites must be equipped to support the installation and operation of antennas, repeaters, and associated hardware, and must deliver robust coverage to the following areas: San Salvador Metropolitan Area: Including San Salvador, Mejicanos, Soyapango, Ilopango, San Marcos, Cuscatancingo, Ayutuxtepeque, Apopa, and adjacent municipalities. Antiguo Cuscatlán and Nuevo Cuscatlán: Covering all urban, suburban, and key institutional zones. The Road to the Airport: Ensuring continuous coverage along the Autopista Comalapa (CA-2 and RN-5), including Olocuilta, San Luis Talpa, and El Salvador International Airport (Monseñor Óscar Arnulfo Romero International Airport). Coatepeque Lake and Surrounding Areas: Including El Congo, Santa Ana, and all communities and access routes around the lake. Additional Coverage: The sites should maximize coverage to surrounding municipalities and critical transit corridors within the greater San Salvador region, including but not limited to Ciudad Delgado, Soyapango, Santa Tecla, and Lourdes. 3. Services Provided 3.1 Access to the Sites 24/7 Access: The contractor shall provide 24/7 access to each repeater site for authorized personnel. Security: Each site must be secure and accessible only to authorized personnel, with robust security measures in place. 3.2 Properly Equipped Shelter Shelter Specifications: Each site must have a weatherproof, temperature-controlled shelter capable of housing all communication equipment. Environmental Controls: The shelter must include heating, ventilation, and air conditioning to maintain optimal operating conditions. 3.3 Tower Access and Tower Space for Antennas Tower Specifications: Towers must be structurally sound, compliant with all safety and engineering standards, and capable of supporting the required antennas. Space Allocation: Adequate space must be allocated on each tower for antenna installation at the required height. 3.4 IP-Based Communication Links Link Installation: The contractor shall install and maintain reliable IP-based communication links between each repeater site and the U.S. Embassy in Santa Elena, as well as among the sites themselves. Link Performance: All links must provide secure, high-quality, and uninterrupted communication. 3.5 Support with Communication Hardware Hardware Provision: The contractor shall provide all necessary hardware for the IP-based links and associated telecommunications equipment. Technical Support: The contractor shall offer technical support for installation, maintenance, and troubleshooting of all provided hardware. 3.6 Power and Backup Power (Generator/Battery Bank) Primary Power: Each site must have a reliable primary power source. Backup Power: Each site must be equipped with a generator or battery bank to ensure continuous operation during power outages. Maintenance: Regular maintenance of all power systems and backup solutions must be conducted to ensure reliability. 3.7 Space for Two Repeaters, E&E, and EAC Equipment Equipment Space: Each shelter must have sufficient space to accommodate two repeaters, Emergency and Evacuation (E&E) equipment, and Emergency Action Committee (EAC) equipment. Installation Support: The contractor shall assist with the installation and setup of all repeaters and associated equipment. 4. Deliverables Site Access Plan: Detailed plan outlining access procedures and security measures for each site. Shelter Specifications: Documentation of each shelters specifications and environmental controls. Tower Space Allocation: Confirmation of allocated space on each tower for antennas. IP Link Installation: Completion and performance testing of all IP-based communication links. Hardware Support: Provision and support of all required telecommunications hardware. Power Systems: Installation and maintenance records for primary and backup power systems. Equipment Space: Confirmation of space availability and support for the installation of repeaters and associated equipment. 5. Performance Standards Reliability: Each site must provide continuous and reliable communication services. Maintenance: Regular maintenance and prompt resolution of any issues to ensure minimal downtime. Support: Timely and effective technical support for all provided services and equipment. 6. Period of Performance The period of performance for this contract shall be one year, starting from the date of contract award, and two option years. 7. Points of Contact Contracting Officer: Venkatesh Ramachandran, RamachandranV@state.gov Technical Representative: Michael E. Dunson, DunsonME@state.gov 8. Acceptance Criteria Site Inspection: Each site will be inspected to ensure it meets all specified requirements. Performance Testing: Successful performance testing of all communication links and power systems. Documentation: Submission and approval of all required documentation and deliverables. Coverage: Each site location must provide coverage to the business objectives stated under the radio program for the interest of the U.S. Embassy in San Salvador, including all specified geographic areas. PLEASE REFER TO ATTACHED RFQ 19ES6026Q0008 FOR COMPLETE DETAILS",,Yes,,,2026-01-30,https://sam.gov/workspace/contract/opp/37e234c83664455d950cd108c57fbaa7/view,37e234c83664455d950cd108c57fbaa7,19ES6026Q0008,
2025-12-31 18:02:34.930,2026-01-07T13:00:00-05:00,Spain,Professional Organizations,TUITION/REG/MEMB FEES,Presolicitation,COMMODITY FUTURES TRADING COMMISSION,COMMODITY FUTURES TRADING COMMISSION,"The Commodity Futures Trading Commission (CFTC) intends to procure a membership to the International Organization of Securities Commission (IOSCO) on a sole source basis. The anticipated contract will have a period of performance of one (1) year. IOSCO is the international body that brings together the worlds securities regulators and is recognized as the global standard setter for the securities sector. IOSCO develops, implements and promotes adherence to internationally recognized standards for securities regulation. CFTCs membership to IOSCO is critical to the Commissions regulatory mission, enabling countries to assist in establishing regulations. The Government intends to procure this requirement under a sole source basis pursuant to the authority at 41 U.S.C. §1901 and RFO 12.102(a) since there is only one source available. The identified vendor is the sole provider of the membership required by CFTC. Therefore, this vendor is the only responsible source identified as reasonably available that will satisfy the agency requirements. THIS NOTICE IS NOT A REQUEST FOR COMPETITIVE PROPOSALS and a solicitation will not be issued. However, the Government will consider responses from all responsible sources received by the date and time identified on this posting. Written responses must include sufficient information to establish capability to fulfill the requirement. Oral communications are not acceptable in response to this notice. Any responses received will only be considered for the purposes of determining whether to conduct a competitive procurement in lieu of the sole source described in this notice, and such determination shall be made at the sole discretion of the CFTC.",,Yes,,,2026-01-16,https://sam.gov/workspace/contract/opp/34b2c2293be24a9eaf71403c20726230/view,34b2c2293be24a9eaf71403c20726230,PROIA2600001,
2025-12-31 17:55:07.408,2026-01-26T16:00:00-05:00,Colombia,Painting and Wall Covering Contractors,MAINTENANCE OF FAMILY HOUSING FACILITIES,Combined Synopsis/Solicitation,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","DESCRIPTION: Professional interior painting services in real estate owned or leased by the United States Embassy in Bogotá, Colombia. The contractor will be responsible for providing all necessary materials, as well as the managerial, administrative, direct, and indirect labor personnel required to execute the work stipulated in this contract. The selected company must be legally incorporated in Colombia, comply with all specific Colombian regulations and standards applicable to the services offered, and demonstrate extensive experience, with a minimum of 10 years of verifiable track record in the Colombian market. Please be aware that open Solicitations will officially published at SAM https://sam.gov/ and the U.S. Embassy Bogotá at https://co.usembassy.gov/solicitation-contracting/?_ga=2.139956275.1212319112.1656010260-640907172.1614716343 The anticipated performance period is for 5 years, if exercised by the Government. All responsible sources may submit a proposal which will be considered. The Government intends to award a Blanket Purchase Agreement  BPA resulting from this solicitation to the lowest priced technically acceptable list of prices. The Government may award the contract based on the initial offer without discussion. The Government is planning a pre-quotation conference and the date for this conference will be in the solicitation. All contractors must be registered in the SAM (System for Award Management) Database https://www.sam.gov prior to contract award pursuant to FAR provision 52.204-7. Therefore, prospective offerors are encouraged to register prior to the submittal of quotations/proposals. The guidelines for registration in SAM are also available at: https://co.usembassy.gov/registrese-como-proveedor-de-la-embajada-de-los-estados-unidos-en-colombia/",,Yes,,,2026-12-27,https://sam.gov/workspace/contract/opp/ff96a19df2684cbfb5d2cf394f86033d/view,ff96a19df2684cbfb5d2cf394f86033d,19C02026Q005,
2025-12-31 17:45:34.932,2026-01-10T04:00:00-05:00,Colombia,All Other Miscellaneous Fabricated Metal Product Manufacturing,FENCING FENCES & GATES,Combined Synopsis/Solicitation,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","SECURITY WALL-TYPE BARRIERS FOR US EMBASSY BOGOTA All elements should meet or exceed the following criteria: 1- ONE HUNDRED (100) UNITS OF PLEGABLE BARRIERS: SECURITY WALL-TYPE BARRIER DIMENSIONS: 2 X 2 METERS PANEL MADE IN TWO PARTS WITH C-16 SHEET METAL UNPUNCHED SHEET METAL, 100 X 200 CM (FOR THE LOWER PART) PUNCHED SHEET METAL, 100 X 200 CM (FOR THE UPPER PART) WEIGHT IS 110 (+-) KG/ 242 POUNDS PER WALL THE BASE IS 100 X 200 CM THE PANEL WILL BE FOLDED FOR DEPLOYMENT THE VENDOR WILL ADD WHEELS TO FACILITATE DEPLOYMENT THE WALL WILL HAVE ANCHOR POINTS ON BOTH SIDES TO PREVENT IT FROM BEING MOVED 2- ONE (1) CART TO MOVE PLEGABLE BARRIERS: TRANSPORT CART MANUFACTURED FROM 1 1/2-INCH, 16-GAUGE STEEL TUBING, WITH A BASE AND SUPPORT SURFACES MADE OF 16-GAUGE SHEET METAL FOR MAXIMUM STRENGTH AND DURABILITY. EQUIPPED WITH 15 CM INDUSTRIAL WHEELS FOR SMOOTH MOVEMENT AND HIGH LOAD CAPACITY. ITS REINFORCED STRUCTURE GUARANTEES RELIABLE PERFORMANCE IN DEMANDING ENVIRONMENTS AND A LONG SERVICE LIFE. Conditions of proposal and evaluation criteria. To be considered for evaluation and award you must include/comply with the following:  Prices should be in Colombian Pesos (COP). Only for Colombian Vendors.  Unit price, tax percentage, tax amount ant total amount should be stipulated in the quote.  Submit with the quotation the technical information sheet per model/reference. (For commodities)  Your offer must show evidence that it meets or exceeds ALL requirements specified in this advertisement.  When arquitectural, engineering or construction services are require the company or individual must have an insurance policy for general liability (Responsabilidad civil professional)  Your offer must meet the technical description provided.  Offer must be valid for six (6) months.  Your offer must include CONTRACTORS CERTIFICATION ON COMPLIANCE WITH NATIONAL DEFENSE AUTHORIZATION ACT (NDAA)-- 52.204-24 Representation Regarding Certain Telecommunications and Video Surveillance Services or Equipment (Aug 2020)  Provide evidence on your past experience with this type of requirements for the last two (2) years. Provide a list of contracts, value and contact information for the PoC on that negotiation.  Provide evidence that your company has the financial resources or the ability to obtain them to fulfill this requirement. Provide financial statements for the last tow (2) years.  Provide Warranty terms.  Include a statement certifying that the terms of this requirement are clearly understood: A. REQUIREMENT: Thay your company completely understands the requirement. B. DELIVERY TERMS: DDP DELIVERY AT THE EMBASSY WAREHOUSE IN BOGOTA. C. PAYMENT TERMS: 30 Day net payment. D. VALIDITY OF OFFER: 6 Months NOTE: We will contact your company clarify or to request additional information during the evaluation process, if necessary. Delivery Place: American Embassy in Bogotá, Colombia Delivery Terms for U.S. vendors: U.S. vendors: you can send a proposal in USD, but all prices must be DDP at our warehouse in Bogotá - Colombia. The U.S. Embassy Bogotá will NOT emit a tax exemption certification for Colombian taxes IMPORTANT NOTE in spite the US embassy is exempt of some Colombian taxes, the Colombian Government courier limits are: $2,000 USD and/or 50 kilos MAX, any package exceeding those limits will no longer be considered courier shipments, and Customs Brokerage + Release of air waybills or Bill of Ladings + Storage fees will be charged, these fees MUST be included in the prospective vendors offer as the US Embassy will not cover such expenses. DELIVERY TERMS: DDP DELIVERY AT THE EMBASSY WAREHOUSE IN BOGOTA. Delivered Duty Paid the seller delivers the goods when the goods are placed at the disposal of the buyer, cleared for import on the arriving means of transport, and ready for unloading at the named place of delivery. The seller bears all the costs and risks involved in bringing the goods to the place of destination, has an obligation to clear the goods not only for export but also for import, to pay any duty for both export and import, and to carry out all customs formalities. Payment Terms EFT net 30 calendar days, payments will be made upon receipt and acceptance of delivery. No advance payments are allowed.",,Yes,,,2026-01-11,https://sam.gov/workspace/contract/opp/4bd0838e1b2c43dfbda0a3213718337c/view,4bd0838e1b2c43dfbda0a3213718337c,PR15768825,
2025-12-31 11:56:02.594,2026-02-17T17:00:00+01:00,Democratic Republic of the Congo,Wireless Telecommunications Carriers (except Satellite),IT AND TELECOM - NETWORK AS A SERVICE,Solicitation,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","The Contractor shall provide mobile telephone services to the Embassy of the United States of America in Kinshasa. The prices listed below shall include all labor, materials, insurance (see FAR 52.228-4 and 52.228-5), overhead, and profit. The Government will pay the Contractor on a monthly basis for Standard Services that have been satisfactorily performed. The Contractor must ensure that 4G/LTE mobile service is the priority service whenever available with the capacity for growth into the 5G network, not excluding possible growth to the latest technology when it becomes available. Any telephone numbers activated under this contract cannot be ported or transferred to any external organization or entity outside the U.S. Government for a minimum of 12 months from date of cancellation of service. Wherever 4G/LTE or higher mobile telephone services are not available, the Contractor must support at least 3G/LTE or higher. The Contractor must ensure that the connection through its network is of the highest quality possible and must be uninterrupted, clear and with no static. Network issues must be addressed immediately, and the COR must be immediately informed of any problems, and their resolution. The Contractor must display network coverages within the top largest cities/towns in DR Congo. Temporary Additional Services are defined as rental on a daily basis of a cell-phone and mobile data hotspots with SIM Cards. These services shall support special events at Post. The Contractor shall provide Temporary Additional Services in addition to the Standard Services specified in this contract. The Contracting Officer shall order Temporary Additional Services on an as needed basis. This work shall not be subcontracted. The Contracting Officer may require the Contractor to provide Temporary Additional Services with 24-hour advance notice. The Contractor shall include in its next regular invoice details of the Temporary Additional Services and, if applicable, the materials provided and requested under these services.",,Yes,,,2026-03-17,https://sam.gov/workspace/contract/opp/efbe6da76e634e959b1a8ff777f83e9e/view,efbe6da76e634e959b1a8ff777f83e9e,19CG5026Q0001_Solicitation,
2025-12-31 10:32:07.139,2026-02-02T17:00:00+01:00,Namibia,Ambulatory Health Care Services,AMBULANCE SERVICE,Presolicitation,"STATE, DEPARTMENT OF","STATE, DEPARTMENT OF","Please note this solicitation is not ready to be issued as of this date. The Embassy of the United States in Windhoek will launch the solicitation on the SAM.gov website when it is available. The U.S. Embassy Windhoek hereby provides the following Pre-solicitation Notice in respect of the issuance of a Request for Quotation (RFQ) for: The U.S. Embassy located in Windhoek, Namibia, requires the provision of off-road capable ambulances to the Ministry of Health and Social Services (MHSS). Two off-road capable ambulances, with spare parts and service/warranty for two years of heavy use. Service/Warranty work must be conducted within Namibia. The Government may award the contract based on the initial offer without discussion. The resultant contract will be a firm fixed price type contract. All contractors must be registered in the SAM (System for Award Management) Database https://www.sam.gov prior to submitting an offer pursuant to FAR provision 52.204-7. Therefore, prospective offerors are encouraged to register prior to the submittal of quotations/proposals. This opportunity is subject to 52.229-12 - Tax on Certain Foreign Procurements (FEB2021). Electronic Submission/Responses: This opportunity allows for electronic responses. Please submit your offer prior to the response date and time. Please ensure your email with your offer does not exceed 15 MB, if it does then you might have to send more than one email. Alternatively, offers may be submitted at the US Embassy offices at address below: US Embassy Windhoek 38 Metje Street, Klein Windhoek, Windhoek, Namibia",,Yes,,,2026-05-30,https://sam.gov/workspace/contract/opp/4ad4e585080f46db99fc28b695eee770/view,4ad4e585080f46db99fc28b695eee770,19WA8026Q0005,
2025-12-31 10:19:55.437,2026-01-09T13:00:00+03:00,Qatar,Refrigerated Warehousing and Storage,SPECIALIZED SHIPPING AND STORAGE CONTAINERS,Combined Synopsis/Solicitation,DEPT OF DEFENSE,DEPT OF THE AIR FORCE,Two 20-40 foot refrigerated containers IAW the Salient Characteristics.,,Yes,,,2026-01-24,https://sam.gov/workspace/contract/opp/d944d8e4974643dfa1039eed17f524f3/view,d944d8e4974643dfa1039eed17f524f3,FA570226Q0006,
