"""ClassificationCode""","""ClassificationCode"" Descriptions"
10,WEAPONS
1000,
1005,"GUNS, THROUGH 30MM"
1005,"GUNS, THROUGH 30 MM"
1010,"GUNS, OVER 30MM UP TO 75MM"
1010,"GUNS, OVER 30 MM UP TO 75 MM"
1015,"GUNS, 75MM THROUGH 125MM"
1015,"GUNS, 75 MM THROUGH 125 MM"
1020,"GUNS, OVER 125MM THROUGH 150MM"
1020,60
1025,"GUNS, OVER 150MM THROUGH 200MM"
1025,GUNS OVER 150 MM THROUGH 200 MM
1030,"GUNS, OVER 200MM THROUGH 300MM"
1030,GUNS OVER 200 MM THROUGH 300 MM
1035,"GUNS, OVER 300MM"
1035,"GUNS, OVER 300 MM"
1040,CHEMICAL WEAPONS AND EQUIPMENT
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE"
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC"
1070,"NETS AND BOOMS, ORDNANCE"
1075,DEGAUSSING AND MINE SWEEPING EQUIPMENT
1075,DEGAUSSING & MINE SWEEPING EQUIPMEN
1080,CAMOUFLAGE AND DECEPTION EQUIPMENT
1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES
1090,WPNS ASSY INTERCHANGE BETWN 2/MORE
1095,MISCELLANEOUS WEAPONS
11,NUCLEAR ORDNANCE
1105,NUCLEAR BOMBS
1110,NUCLEAR PROJECTILES
1115,NUCLEAR WARHEADS & WARHEAD SECTIONS
1115,NUCLEAR WARHEADS AND WARHEAD SECTIONS
1120,NUCLEAR DEPTH CHARGES
1125,NUCLEAR DEMOLITION CHARGES
1127,NUCLEAR ROCKETS
1130,"CONVERSION KITS, NUCLEAR ORDNANCE"
1135,"FUZING AND FIRING DEVICES, NUCLEAR ORDNANCE"
1135,"FUZING & FIRING DEVICES, NUCLEAR OR"
1140,NUCLEAR COMPONENTS
1145,"EXPLOSIVE & PYROTECHNIC COMPS, NUCL"
1145,"EXPLOSIVE AND PYROTECHNIC COMPONENTS, NUCLEAR ORDNANCE"
1190,"SPEC TEST & HANDLING EQ, NUCLEAR EQ"
1190,"SPECIALIZED TEST AND HANDLING EQUIPMENT, NUCLEAR ORDNANCE"
1195,MISCELLANEOUS NUCLEAR ORDNANCE
12,FIRE CONTROL EQPT.
1210,FIRE CONTROL DIRECTORS
1220,FIRE CONTROL COMPUTING SIGHTS AND DEVICES
1220,FIRE CONT COMPUTING SIGHTS & DEVICE
1230,"FIRE CONTROL SYSTEMS, COMPLETE"
1240,OPTICAL SIGHTING AND RANGING EQUIPMENT
1240,OPTICAL SIGHTING & RANGING EQUIPMEN
1250,FIRE CONTROL STABILIZING MECHANISMS
1260,FIRE CONT DESIGNATING-INDICATING EQ
1260,FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT
1265,FIRE CONT EQ EXCEPT AIRBORNE
1265,"FIRE CONTROL TRANSMITTING AND RECEIVING EQUIPMENT, EXCEPT AIRBORNE"
1270,AIRCRAFT GUNNERY FIRE CONT COMPS
1270,AIRCRAFT GUNNERY FIRE CONTROL COMPONENTS
1280,AIRCRAFT BOMBING FIRE CONT COMPS
1280,AIRCRAFT BOMBING FIRE CONTROL COMPONENTS
1285,"FIRE CONTROL RADAR EQUIPMENT, EXCEPT AIRBORNE"
1285,FIRE CONT RADAR EQ EXCEPT AIRBORNE
1287,FIRE CONTROL SONAR EQUIPMENT
1290,MISCELLANEOUS FIRE CONTROL EQUIPMENT
1290,MISC FIRE CONT EQUIPMENT
13,AMMUNITION AND EXPLOSIVES
1305,"AMMUNITION, THROUGH 30 MM"
1305,"AMMUNITION, THROUGH 30MM"
1310,"AMMUNITION, OVER 30MM UP TO 75MM"
1310,"AMMUNITION, OVER 30 MM UP TO 75 MM"
1315,"AMMUNITION, 75 MM THROUGH 125 MM."
1315,"AMMUNITION, 75MM THROUGH 125MM"
1320,"AMMUNITION, OVER 125 MM"
1320,"AMMUNITION, OVER 125MM"
1325,BOMBS
1330,GRENADES
1336,GUIDED MISSILE WARHEADS AND EXPLOSIVE COMPONENTS
1336,GUIDED MSL WARHDS-EXPLOSIVE COMPS
1337,MSL & SPACE VEH EXPLOSIVE PROPULSN
1337,"GUIDED MISSILE AND SPACE VEHICLE EXPLOSIVE PROPULSION UNITS, SOLID FUEL; AND COMPONENTS"
1338,"GUIDED MISSILE AND SPACE VEHICLE INERT PROPULSION UNITS, SOLID FUEL; AND COMPONENTS"
1338,MSL & SPACE VEH INERT PROPULSION
1340,"ROCKETS, ROCKET AMMUNITION AND ROCKET COMPONENTS"
1340,ROCKETS & ROCKET AMMUNITION
1345,LAND MINES
1346,REMOTE MUNITIONS
1350,UNDERWATER MINE INERT COMPONENTS
1350,"UNDERWATER MINE AND COMPONENTS, INERT"
1351,UNDERWATER MINE EXPLOSIVE COMPS
1351,"UNDERWATER MINES AND COMPONENTS, EXPLOSIVE"
1352,UNDERWATER MINE DISPOSAL INERT DEVICES
1352,UNDERWATER MINE DISPOAL INERT DEVICES
1353,UNDERWATER MINE DISPOSAL EXPLOSIVE DEVICES
1353,UNDERWATER MINE DISPOAL EXPLOSIVE DEVICES
1355,"TORPEDOS AND COMPONENTS, INERT"
1355,TORPEDO INERT COMPONENTS
1356,"TORPEDOS AND COMPONENTS, EXPLOSIVE"
1356,TORPEDO EXPLOSIVE COMPONENTS
1360,"DEPTH CHARGES AND COMPONENTS, INERT"
1360,DEPTH CHARGE INERT COMPONENTS
1361,"DEPTH CHARGES AND COMPONENTS, EXPLOSIVE"
1361,DEPTH CHARGE EXPLOSIVE COMPONENTS
1365,MILITARY CHEMICAL AGENTS
1367,"TACTICAL SETS, KITS, AND OUTFITS"
1370,PYROTECHNICS
1375,DEMOLITION MATERIALS
1376,BULK EXPLOSIVES
1377,CARTRIDGE & PROPELLANT DEVICES
1377,CARTRIDGE AND PROPELLANT ACTUATED DEVICES AND COMPONENTS
1380,MILITARY BIOLOGICAL AGENTS
1385,SURFACE USE EXPLOSIVE ORDNANCE DISPOSAL TOOLS AND EQUIPMENT
1385,SURFACE EXPLOSIVE ORD DISPOSAL TOOL
1386,UNDERWATER USE EXPLOSIVE ORDNANCE DISPOSAL AND SWIMMER WEAPONS SYSTEMS TOOLS AND EQUIPMENT
1386,UNDERWATER EXPLOSIVE ORD DISPOSAL
1390,FUZES AND PRIMERS
1395,MISCELLANEOUS AMMUNITION
1398,AMMUNITION HANDLING & SERVICING EQ
